Iteration,Epsilon,Delta,Dynamic_Noise_Multiplier,Mean_Performance,Seed
409,10.0,0.001,34.55672025680542,0.6191533419763757,44
410,10.0,0.0001,34.55672025680542,0.6349118889849227,44
411,5.0,0.1,34.55672025680542,0.6028648084125613,44
412,5.0,0.01,34.55672025680542,0.5704533995966581,44
413,5.0,0.001,34.55672025680542,0.6893765605493133,44
414,5.0,0.0001,34.55672025680542,0.691113571977336,44
415,1.0,0.1,34.55672025680542,0.6411795952175166,44
416,1.0,0.01,34.55672025680542,0.7203684697013348,44
417,1.0,0.001,34.55672025680542,0.6661177734562567,44
418,1.0,0.0001,34.55672025680542,0.6674886560069144,44
419,0.1,0.1,34.55672025680542,0.6092087414769999,44
420,0.1,0.01,34.55672025680542,0.7001989700374531,44
421,0.1,0.001,34.55672025680542,0.6686905790838376,44
422,0.1,0.0001,34.55672025680542,0.7054742269278785,44
423,50.0,0.1,34.55672025680542,0.5743748799577452,44
424,50.0,0.1,34.55672025680542,0.611977215980025,44
425,50.0,0.1,34.55672025680542,0.6033104652837799,44
426,50.0,0.1,34.55672025680542,0.717199654278306,44
427,50.0,0.01,34.55672025680542,0.5689966868337655,44
428,50.0,0.01,34.55672025680542,0.4948114736387208,44
429,50.0,0.01,34.55672025680542,0.7125963339095361,44
430,50.0,0.01,34.55672025680542,0.6848845793719388,44
431,50.0,0.001,34.55672025680542,0.669816575434553,44
432,50.0,0.001,34.55672025680542,0.6535367449342169,44
433,50.0,0.001,34.55672025680542,0.6673061917795063,44
434,50.0,0.001,34.55672025680542,0.6838345097474311,44
435,50.0,0.0001,34.55672025680542,0.6520764309036781,44
436,50.0,0.0001,34.55672025680542,0.6165538269470854,44
437,50.0,0.0001,34.55672025680542,0.6788395515221357,44
438,50.0,0.0001,34.55672025680542,0.6994730145011044,44
439,30.0,0.1,34.55672025680542,0.7108338135023529,44
440,30.0,0.1,34.55672025680542,0.6876764621146643,44
441,30.0,0.1,34.55672025680542,0.5335043935465283,44
442,30.0,0.1,34.55672025680542,0.6298863199846345,44
443,30.0,0.01,34.55672025680542,0.5419007490636705,44
444,30.0,0.01,34.55672025680542,0.6545562037837319,44
445,30.0,0.01,34.55672025680542,0.651929679247095,44
446,30.0,0.01,34.55672025680542,0.6933520599250936,44
447,30.0,0.001,34.55672025680542,0.5770944372419091,44
448,30.0,0.001,34.55672025680542,0.7322103380389897,44
449,30.0,0.001,34.55672025680542,0.6375873307404206,44
450,30.0,0.001,34.55672025680542,0.6971721045808125,44
451,30.0,0.0001,34.55672025680542,0.6438823465859983,44
452,30.0,0.0001,34.55672025680542,0.563623595505618,44
453,30.0,0.0001,34.55672025680542,0.6651337270719293,44
454,30.0,0.0001,34.55672025680542,0.5890380413905695,44
455,20.0,0.1,34.55672025680542,0.7334965907999615,44
456,20.0,0.1,34.55672025680542,0.6246953927782579,44
457,20.0,0.1,34.55672025680542,0.6932725319312398,44
458,20.0,0.1,34.55672025680542,0.5773309204840104,44
459,20.0,0.01,34.55672025680542,0.5764276025160857,44
460,20.0,0.01,34.55672025680542,0.642991032843561,44
461,20.0,0.01,34.55672025680542,0.6124582853164314,44
462,20.0,0.01,34.55672025680542,0.7436506650340919,44
463,20.0,0.001,34.55672025680542,0.7313646403534044,44
464,20.0,0.001,34.55672025680542,0.6970067463747239,44
465,20.0,0.001,34.55672025680542,0.6591241116873139,44
466,20.0,0.001,34.55672025680542,0.6781676150004802,44
467,20.0,0.0001,34.55672025680542,0.7522378877364833,44
468,20.0,0.0001,34.55672025680542,0.6765386416018438,44
469,20.0,0.0001,34.55672025680542,0.6264714179391145,44
470,20.0,0.0001,34.55672025680542,0.655719113127821,44
471,10.0,0.1,34.55672025680542,0.6912774296552386,44
472,10.0,0.1,34.55672025680542,0.6881392250072025,44
